condition,relative_to_FHB_mean,SD
FHB,100.0,9.57
EVB80,525.88,56.82
Echo20,202.05,15.89
Echo26,329.28,18.33
Echo33,235.47,1.45
FMDV (A/O),371.09,33.55
CVA3,353.06,8.68
CVA7,431.51,28.22
CVA9,207.06,13.42
CVA12,360.45,15.88
CVA17,265.06,21.34
CVA19,183.98,3.27
CVB5,296.48,65.76
