condition,relative_to_FHB_mean,SD
FHB,100.0,3.82525
EVB80,512.8645,32.67693
Echo20,205.222,10.98148
Echo26,325.5342,33.83093
Echo33,286.6807,2.77577
FMDV (A/O),370.2406,19.44228
CVA3,413.4945,37.60234
CVA7,457.93,93.18477
CVA9,212.7104,16.42446
CVA12,491.8142,2.225688
CVA17,302.9297,9.716921
CVA19,189.8128,9.89466
CVB5,208.7285,4.813954
